id,text,intent,language,is_code_switched,formality,difficulty
723,payment stuck,payment_pending,english,False,informal,easy
2841,What is the maximum operating temperature for this industrial equipment?,product_information,english,False,formal,hard
2842,Can you tell me if the watch strap is easily interchangeable?,product_information,english,False,neutral,medium
2843,is it waterproof,product_information,english,False,informal,easy
2844,I want to know if the software license is perpetual or subscription-based.,product_information,english,False,neutral,medium
2845,Could you provide the exact power consumption specs in standby mode?,product_information,english,False,formal,medium
2846,यो औद्योगिक मेसिनले अधिकतम कति तापक्रममा काम गर्न सक्छ?,product_information,nepali_devanagari,False,formal,hard
2847,के यो घडीको फित्ता सजिलै फेर्न मिल्ने खालको छ?,product_information,nepali_devanagari,False,neutral,medium
2848,यो पानीले भिज्दा बिग्रिँदैन नि?,product_information,nepali_devanagari,False,informal,easy
2849,यो सफ्टवेयरको लाइसेन्स जीवनभरको लागि हो कि वर्ष-वर्षमा पैसा तिर्नुपर्छ?,product_information,nepali_devanagari,False,neutral,medium
2850,स्ट्यान्डबाइ मोडमा हुँदा यसले ठ्याक्कै कति बिजुली खपत गर्छ बताइदिनुस् न।,product_information,nepali_devanagari,False,formal,medium
2851,yo audhyogik machine le adhiktam kati tapkram ma kaam garna sakxa?,product_information,romanized_nepali,False,formal,hard
2852,k yo ghadi ko fitta sajilai ferna milne khalko xa?,product_information,romanized_nepali,False,neutral,medium
2853,yo pani le vijda bigrindaina ni?,product_information,romanized_nepali,False,informal,easy
2854,yo software ko license jiwanbhar ko lagi ho ki barsha-barsa ma paisa tirnuparxa?,product_information,romanized_nepali,False,neutral,medium
2855,standby mode ma huda yesle thyakkai kati bijuli khapat garxa bataidinus na.,product_information,romanized_nepali,False,formal,medium
2856,industrial equipment ko maximum operating temperature k ho?,product_information,code_switched,True,formal,hard
2857,watch strap easily interchangeable cha ki chaina bhana ta?,product_information,code_switched,True,neutral,medium
2858,software license perpetual ho ki subscription-based model ma cha?,product_information,code_switched,True,neutral,medium
2859,standby mode ma power consumption specs exact provide garna saknuhuncha?,product_information,code_switched,True,formal,medium
2860,features maa waterproof lekheko cha but kitna depth samma?,product_information,code_switched,True,informal,easy
2861,Are there any impending constraints on the supply of this raw material?,product_availability,english,False,formal,hard
2862,"I see the shoes are out of stock, do you have any similar alternatives?",product_availability,english,False,neutral,medium
2863,any left in stock,product_availability,english,False,informal,easy
2864,Can you notify my registered email the moment this becomes available?,product_availability,english,False,neutral,medium
2865,Please confirm the regional warehouse inventory for this specific part number.,product_availability,english,False,formal,medium
2866,के यो कच्चा पदार्थको आपूर्तिमा निकट भविष्यमा कुनै अवरोध आउने सम्भावना छ?,product_availability,nepali_devanagari,False,formal,hard
2867,"जुत्ता त सकिएको रहेछ, यस्तै मिल्दोजुल्दो अरु कुनै विकल्प छ तपाईंहरूसँग?",product_availability,nepali_devanagari,False,neutral,medium
2868,स्टकमा केही बाँकी छ त?,product_availability,nepali_devanagari,False,informal,easy
2869,यो सामान आउनेबित्तिकै मेरो दर्ता भएको इमेलमा जानकारी पठाउन मिल्छ?,product_availability,nepali_devanagari,False,neutral,medium
2870,यो विशेष पार्ट नम्बरको सामान क्षेत्रीय गोदाममा छ कि छैन यकिन गरिदिनुस्।,product_availability,nepali_devanagari,False,formal,medium
2871,k yo kaccha padartha ko aapurti ma nikat bhawishya ma kunai awarodh aune sambhawana xa?,product_availability,romanized_nepali,False,formal,hard
2872,"jutta ta sakieko raixa, yastai mildojuldo aru kunai bikalpa xa timiharusanga?",product_availability,romanized_nepali,False,neutral,medium
2873,stock ma kehi baki xa ta?,product_availability,romanized_nepali,False,informal,easy
2874,yo saman aune bittikai mero darta vayeko email ma jankari pathauna milxa?,product_availability,romanized_nepali,False,neutral,medium
2875,yo bisesh part number ko saman kshetriya godam ma xa ki xaina yakin garidinus.,product_availability,romanized_nepali,False,formal,medium
2876,supply constraint le garda yo raw material scarcity ma gako ho?,product_availability,code_switched,True,formal,hard
2877,"shoes out of stock dekhe, similar alternatives kei cha ki?",product_availability,code_switched,True,neutral,medium
2878,available hune bittikai registered email ma notify garna saknuhuncha?,product_availability,code_switched,True,neutral,medium
2879,regional warehouse inventory ma yo specific part number confirm garnus.,product_availability,code_switched,True,formal,medium
2880,sold out chha app ma katai branch ma vetiyen?,product_availability,code_switched,True,informal,easy
3022,"I ordered a pack of five, but there are only four shirts inside.",missing_item,english,False,neutral,medium
3281,I am serving formal notice that I require a senior arbiter for this dispute.,human_agent_request,english,False,formal,hard
3282,Your automated triage is failing to grasp my nuanced issue.,human_agent_request,english,False,neutral,medium
3283,put a person on chat,human_agent_request,english,False,informal,easy
3284,Please terminate this automated sequence and patch me through to an executive.,human_agent_request,english,False,formal,medium
3285,म यो विवादको लागि एक वरिष्ठ मध्यस्थकर्ता आवश्यक छ भनेर औपचारिक सूचना दिँदैछु।,human_agent_request,nepali_devanagari,False,formal,hard
3286,तपाईंको अटोमेटिक प्रणाली मेरो जटिल समस्या बुझ्न असफल भइरहेको छ।,human_agent_request,nepali_devanagari,False,neutral,medium
3287,च्याटमा कोही मान्छे आउ त।,human_agent_request,nepali_devanagari,False,informal,easy
3288,कृपया यो अटोमेटिक कुराकानी बन्द गरेर मलाई कार्यकारी अधिकारीसँग जोड्नुहोस्।,human_agent_request,nepali_devanagari,False,formal,medium
3289,ma yo biwad ko lagi ek baristha madhyasthakarta aawashyak xa vanera aupacharik suchana didaixu.,human_agent_request,romanized_nepali,False,formal,hard
3290,tapaiko automatic pranali mero jatil samasya bujhna asafal vairai ko xa.,human_agent_request,romanized_nepali,False,neutral,medium
3291,chat ma kohi manxe aau ta.,human_agent_request,romanized_nepali,False,informal,easy
3292,kripaya yo automatic kurakani banda garera malai karyakari adhikarisanga jodnuhos.,human_agent_request,romanized_nepali,False,formal,medium
3293,formal notice serve gardaichu senior arbiter require cha this dispute lai.,human_agent_request,code_switched,True,formal,hard
3294,automated triage fail bhairacha to grasp my nuanced issue.,human_agent_request,code_switched,True,neutral,medium
3295,automated sequence terminate garera executive lai patch through garnus.,human_agent_request,code_switched,True,formal,medium
3296,chat ma real person lai lyau kasto AI hola.,human_agent_request,code_switched,True,informal,easy
3297,bot le loop ma fasayo escalation to higher authority is needed.,human_agent_request,code_switched,True,neutral,hard
3298,human supervisor lai line pass gara malai kura garnu cha.,human_agent_request,code_switched,True,informal,medium
3299,I strictly demand a transfer to a live representative immediately.,human_agent_request,code_switched,True,formal,medium
3300,AI support stop garera actual support staff assign gara.,human_agent_request,code_switched,True,neutral,medium
5483,where is my refund,refund_status,english,False,informal,easy
6583,wrong flavor sent,wrong_item,english,False,informal,easy
6607,स्क्रिन फुटेको छ,damaged_item,nepali_devanagari,False,informal,easy
6611,screen futeko xa,damaged_item,romanized_nepali,False,informal,easy
6623,forgot my fries,missing_item,english,False,informal,easy
6880,notify me alert completely malfunctioning cha alternative updates provide garnus.,product_availability,code_switched,True,formal,medium
7103,payment crashed again,payment_failed,english,False,informal,easy
7107,पेमेन्ट फेरि क्र्यास भयो,payment_failed,nepali_devanagari,False,informal,easy
7111,payment feri crash vayo,payment_failed,romanized_nepali,False,informal,easy
7283,give me a real person,human_agent_request,english,False,informal,easy
7367,कति स्लो हो यार,delayed_delivery,nepali_devanagari,False,informal,easy
7727,मेरो अर्डर पास भयो त,order_status,nepali_devanagari,False,informal,easy
7731,mero order pass vayo ta,order_status,romanized_nepali,False,informal,easy
8207,स्क्रिन फुटेको छ,damaged_item,nepali_devanagari,False,informal,easy
8211,screen futeko xa,damaged_item,romanized_nepali,False,informal,easy
8283,is the money sent,refund_status,english,False,informal,easy
8467,यसको कुनै पिस बाँकी छ,product_availability,nepali_devanagari,False,informal,easy
8471,yesko kunai piece baki xa,product_availability,romanized_nepali,False,informal,easy
