id,text,intent,language,is_code_switched,formality,difficulty
10401,I require the precise geolocation tracking for the custom aquarium setup.,order_tracking,english,false,formal,hard
10402,where is the custom aquarium setup right now,order_tracking,english,false,informal,easy
10403,Can you check the transit status of the imported marble tiles?,order_tracking,english,false,neutral,medium
10404,I require the precise geolocation tracking for the imported marble tiles precisely.,order_tracking,english,false,formal,medium
10405,where is the imported marble tiles right now man,order_tracking,english,false,informal,medium
10406,मलाई custom aquarium setup को लागि सटीक भौगोलिक स्थान ट्र्याकिङ आवश्यक छ।,order_tracking,nepali_devanagari,false,formal,hard
10407,custom aquarium setup अहिले कहाँ छ त,order_tracking,nepali_devanagari,false,informal,easy
10408,के तपाईं imported marble tiles को ट्रान्जिट स्थिति जाँच गर्न सक्नुहुन्छ?,order_tracking,nepali_devanagari,false,neutral,medium
10409,मलाई imported marble tiles को लागि सटीक भौगोलिक स्थान ट्र्याकिङ आवश्यक छ।,order_tracking,nepali_devanagari,false,formal,medium
10410,imported marble tiles अहिले कहाँ छ त man,order_tracking,nepali_devanagari,false,informal,medium
10411,malai custom aquarium setup ko lagi satik bhaugolik sthan tracking aawashyak xa.,order_tracking,romanized_nepali,false,formal,hard
10412,custom aquarium setup ahile kaha xa ta,order_tracking,romanized_nepali,false,informal,easy
10413,k tapai imported marble tiles ko transit sthiti janch garna saknuhunxa?,order_tracking,romanized_nepali,false,neutral,medium
10414,malai imported marble tiles ko lagi satik bhaugolik sthan tracking aawashyak xa precisely.,order_tracking,romanized_nepali,false,formal,medium
10415,imported marble tiles ahile kaha xa ta man,order_tracking,romanized_nepali,false,informal,medium
10416,custom aquarium setup ko precise geolocation tracking require garchu.,order_tracking,code_switched,true,formal,hard
10417,where is the custom aquarium setup ahile?,order_tracking,code_switched,true,informal,easy
10418,imported marble tiles ko transit status check garna milcha?,order_tracking,code_switched,true,neutral,medium
10419,imported marble tiles ko precise geolocation tracking require garchu precisely.,order_tracking,code_switched,true,formal,medium
10420,where is the imported marble tiles ahile man?,order_tracking,code_switched,true,informal,medium
10421,Has the preparation phase concluded for the 3D printed mechanical prototype?,order_status,english,false,formal,hard
10422,what is the status of the 3D printed mechanical prototype,order_status,english,false,informal,easy
10423,Is the specialized lab equipment ready to be shipped yet?,order_status,english,false,neutral,medium
10424,Has the preparation phase concluded for the specialized lab equipment please?,order_status,english,false,formal,medium
10425,what is the status of the specialized lab equipment man,order_status,english,false,informal,medium
