id,text,intent,language,is_code_switched,formality,difficulty
1,I need to know the current location of my package.,order_tracking,english,False,formal,easy
2,मेरो सामान कहाँ आइपुग्यो भनेर हेर्न मिल्छ?,order_tracking,nepali_devanagari,False,neutral,easy
3,mero order aile kaha pugeko cha?,order_tracking,romanized_nepali,False,neutral,easy
4,tracking link le kam garena k vako ho yesto?,order_tracking,code_switched,True,informal,medium
5,Can someone tell me where ORDER123 is?,order_tracking,english,False,neutral,easy
6,मैले अर्डर गरेको बाटोमै छ कि आइसकेको हो?,order_tracking,nepali_devanagari,False,neutral,medium
7,kaha pugecha mero saman herdidis na,order_tracking,romanized_nepali,False,informal,medium
8,mero app ma package dispatched matra vancha location update chaina,order_tracking,code_switched,True,neutral,hard
9,Provide the tracking details for my recent purchase please.,order_tracking,english,False,formal,medium
10,बाटोमा कहाँ पुग्यो भनेर म्यासेज किन नआएको होला?,order_tracking,nepali_devanagari,False,neutral,hard
11,mero samaan ko tracking id kasari pauney?,order_tracking,romanized_nepali,False,neutral,easy
12,eta order tracking section ma kei update nai dekhako chaina ni,order_tracking,code_switched,True,neutral,medium
13,i cant track my order help,order_tracking,english,False,informal,easy
14,सामान ट्र्याक गर्ने ठाउँमा केही देखाएन,order_tracking,nepali_devanagari,False,neutral,medium
15,tracking number halda error aayo,order_tracking,romanized_nepali,False,informal,medium
16,location update bhayeko chaina kata xa aile?,order_tracking,code_switched,True,informal,medium
17,Has my package moved from the warehouse?,order_tracking,english,False,neutral,medium
18,अर्डर नम्बर १५५२ को अवस्था के छ?,order_status,nepali_devanagari,False,formal,easy
19,is it confirmed yet?,order_status,english,False,informal,easy
20,mero order confirm vayo ki nai kasari thaha paune?,order_status,romanized_nepali,False,neutral,medium
21,payment ta bhayo order status chai processing dekhaucha ta still,order_status,code_switched,True,neutral,hard
22,I would like to know if my order has been shipped.,order_status,english,False,formal,easy
23,अर्डर अझै प्रोसेसिङ मात्र देखाउँछ त,order_status,nepali_devanagari,False,neutral,medium
24,saman pack vayo ki hudai cha?,order_status,romanized_nepali,False,informal,medium
25,order shipped bhayo ki cancel bhayo thahai bhayena,order_status,code_switched,True,neutral,medium
26,give me order details,order_status,english,False,informal,easy
27,मेरो सामान पठाइएको हो कि होइन?,order_status,nepali_devanagari,False,neutral,easy
28,order placed vancha tara dispatched vako chaina,order_status,code_switched,True,neutral,medium
29,yo k vako order ko avastha?,order_status,romanized_nepali,False,informal,hard
30,Could you check if ITEM123 is already processed?,order_status,english,False,formal,medium
31,अर्डर त गरेँ तर कन्फर्मेसन म्यासेज आएन,order_status,nepali_devanagari,False,neutral,hard
32,mero varkhar gareko kineko kura ko status k cha,order_status,romanized_nepali,False,neutral,medium
33,app ma herda order completely ready vancha k ho?,order_status,code_switched,True,informal,hard
34,Cancel my order immediately.,order_cancellation,english,False,informal,easy
35,मलाई यो अर्डर क्यान्सिल गर्नु छ,order_cancellation,nepali_devanagari,False,neutral,easy
36,malai yo saman chahiyena cancel handinu,order_cancellation,romanized_nepali,False,informal,easy
37,mistake le order place bhayo cancel gardinus na please,order_cancellation,code_switched,True,neutral,medium
38,I made a mistake and wish to withdraw my purchase.,order_cancellation,english,False,formal,medium
39,झुक्किएर दुई वटा अर्डर भयो एउटा रद्द गरिदिनुहोला,order_cancellation,nepali_devanagari,False,formal,medium
40,yo ordrr galti le vayo hatauna milxa?,order_cancellation,romanized_nepali,False,informal,medium
41,I want to abort this transaction order completely,order_cancellation,code_switched,True,neutral,hard
42,can u stop my order?,order_cancellation,english,False,informal,easy
43,मेरो विचार बदलियो यो अर्डर नपठाउनु होला,order_cancellation,nepali_devanagari,False,neutral,medium
44,maile kineko kura cancel garna process k cha?,order_cancellation,romanized_nepali,False,neutral,medium
45,order cancel request half ma adkiyo k garne,order_cancellation,code_switched,True,neutral,medium
46,Please terminate the delivery for ORDER123.,order_cancellation,english,False,formal,medium
47,अर्डर खारेज गर्न के गर्नुपर्छ?,order_cancellation,nepali_devanagari,False,formal,easy
48,yo saman aba nachahine vayo rokdinu hai,order_cancellation,romanized_nepali,False,informal,medium
49,cancel button le work nai garena my order won't stop,order_cancellation,code_switched,True,informal,hard
50,Why is my delivery taking so long?,delayed_delivery,english,False,neutral,easy
51,हिजो आउनुपर्ने सामान अझै आएन त,delayed_delivery,nepali_devanagari,False,informal,easy
52,aja samma aaisaknu parne mero saman kina aayena?,delayed_delivery,romanized_nepali,False,neutral,medium
53,delivery estimated time ta sakiyo but package hasnt arrived,delayed_delivery,code_switched,True,neutral,medium
54,The promised delivery date has passed without any updates.,delayed_delivery,english,False,formal,medium
55,पाँच दिन भइसक्यो सामान पठाउनुहुन्न कि क्या हो?,delayed_delivery,nepali_devanagari,False,informal,medium
56,kati dhilo garchau yar delivery garna,delayed_delivery,romanized_nepali,False,informal,medium
57,courier le delay garyo ki timi haru le na pathako?,delayed_delivery,code_switched,True,informal,hard
58,it is very late where is it,delayed_delivery,english,False,informal,easy
59,आज दिउँसो ३ बजे पुग्छ भनेको अहिले राती भइसक्यो,delayed_delivery,nepali_devanagari,False,neutral,medium
60,saman aauna kati time lagya ho yesto,delayed_delivery,romanized_nepali,False,informal,easy
61,delivery ekdum slow bhayo expedite garna milcha?,delayed_delivery,code_switched,True,neutral,medium
62,I am frustrated with the continuous delays in receiving my item.,delayed_delivery,english,False,formal,hard
63,कति दिन कुर्नुपर्ने हो एउटा सामानको लागि?,delayed_delivery,nepali_devanagari,False,informal,medium
64,bholi vanya bholi bholi vanya bholi kaile aaucha,delayed_delivery,romanized_nepali,False,informal,hard
65,why is my shipment delayed continuously?,delayed_delivery,code_switched,True,formal,medium
66,I received a completely different product.,wrong_item,english,False,neutral,easy
67,मैले मगाएको एउटा आयो अर्कै,wrong_item,nepali_devanagari,False,informal,easy
68,red color ko t-shirt ko thau ma blue aayo ta,wrong_item,romanized_nepali,False,neutral,medium
69,size milena I ordered M but L aayo,wrong_item,code_switched,True,informal,medium
70,The article delivered does not match my original purchase.,wrong_item,english,False,formal,medium
71,तपाईंहरूले गलत सामान पठाउनु भएछ,wrong_item,nepali_devanagari,False,neutral,easy
72,arkai brand ko jutta pathaidiyexau,wrong_item,romanized_nepali,False,informal,medium
73,wrong product deliver bhayo eslai kasari exchange garne?,wrong_item,code_switched,True,neutral,hard
74,not what i ordered,wrong_item,english,False,informal,easy
75,फोटोमा देखाएको जस्तो त पटक्कै छैन यो सामान,wrong_item,nepali_devanagari,False,neutral,hard
76,k pathako yesto maile order garya kura haina yo,wrong_item,romanized_nepali,False,informal,hard
77,item completely mismatched cha return garna khojeko,wrong_item,code_switched,True,informal,hard
78,Could you please help me? The item inside the box is incorrect.,wrong_item,english,False,formal,medium
79,एउटा मोडल मगाएको अर्कै मोडलको फोन आयो,wrong_item,nepali_devanagari,False,neutral,medium
80,yo ta aarkai kura raicha mero haina hola,wrong_item,romanized_nepali,False,informal,medium
81,I got sent the wrong variation yo ta chahiyeko thena,wrong_item,code_switched,True,informal,hard
82,The product arrived broken into pieces.,damaged_item,english,False,neutral,easy
83,सामान त फुटेको अवस्थामा आइपुग्यो,damaged_item,nepali_devanagari,False,neutral,easy
84,box kholda ta bhitra ko kura bigreko thiyo,damaged_item,romanized_nepali,False,neutral,medium
85,screen cracked cha yesko physical damage vako item aayo,damaged_item,code_switched,True,neutral,hard
86,My delivery sustained severe damage during transit.,damaged_item,english,False,formal,medium
87,प्याकेट च्यातिएको र भित्रको सामान कुच्चिएको छ,damaged_item,nepali_devanagari,False,neutral,medium
88,kasto khattam saman pathako sabai vachiyeko cha,damaged_item,romanized_nepali,False,informal,medium
89,damage product receive bhayo I need a replacement,damaged_item,code_switched,True,neutral,medium
90,it is broken,damaged_item,english,False,informal,easy
91,सामान चलाउनै नमिल्ने गरी बिग्रिएको छ,damaged_item,nepali_devanagari,False,neutral,medium
92,saman jharera futya jasto xa yesto ta hudaina,damaged_item,romanized_nepali,False,informal,hard
93,delivery huda scratch pareko raicha damage vo,damaged_item,code_switched,True,informal,hard
94,Please address this issue as the contents are totally ruined.,damaged_item,english,False,formal,medium
95,किताबका पानाहरु च्यातिएको अवस्थामा पाएँ,damaged_item,nepali_devanagari,False,formal,medium
96,dhunga le haneko jasto pichcha parya cha,damaged_item,romanized_nepali,False,informal,hard
97,yo broken item ko complaint kaha garne?,damaged_item,code_switched,True,neutral,medium
98,There is a part left out from the box.,missing_item,english,False,neutral,easy
99,प्याकेटमा एउटा सामान त राख्नै बिर्सनुभएछ,missing_item,nepali_devanagari,False,neutral,easy
100,jamma euta matra aayo 2 ta thiyo bill ma,missing_item,romanized_nepali,False,neutral,medium
101,box ma charger missing cha yesto pani huncha?,missing_item,code_switched,True,informal,medium
102,My consignment is incomplete.,missing_item,english,False,formal,medium
103,मैले तीनवटा मगाएको तर दुईवटा मात्र आयो किन होला?,missing_item,nepali_devanagari,False,neutral,medium
104,bhitra ko main cable nai xaina ta,missing_item,romanized_nepali,False,informal,medium
105,item short delivery vayo baki kaile aucha?,missing_item,code_switched,True,neutral,hard
106,somethings missing,missing_item,english,False,informal,easy
107,झोलामा आधा मात्र सामान रहेछ,missing_item,nepali_devanagari,False,informal,medium
108,earpods ko euta katti ko kura pugena,missing_item,romanized_nepali,False,informal,hard
109,half of my order missing cha kura k ho,missing_item,code_switched,True,informal,hard
110,Could you investigate why my accessories were excluded?,missing_item,english,False,formal,medium
111,सामानको गन्ती पुगेन,missing_item,nepali_devanagari,False,neutral,medium
112,cover nai haldina birsexau ta timiharule,missing_item,romanized_nepali,False,informal,medium
113,components missing vako le I can't assemble it,missing_item,code_switched,True,formal,hard
114,I would like to initiate a return.,return_request,english,False,formal,easy
115,मलाई यो सामान फिर्ता गर्नु छ कसरी गर्ने?,return_request,nepali_devanagari,False,neutral,easy
116,yo saman firta lagdinu paryo,return_request,romanized_nepali,False,informal,easy
117,malai yo man parena return process k ho?,return_request,code_switched,True,neutral,medium
118,Please send a courier to take this back.,return_request,english,False,neutral,medium
119,यो सामान मन परेन फिर्ता लिइदिनुहोला,return_request,nepali_devanagari,False,neutral,medium
120,firta garne thau kaha cha mero wari pari?,return_request,romanized_nepali,False,neutral,medium
121,return ticket raise garna milena app ma,return_request,code_switched,True,neutral,medium
122,want to send it back,return_request,english,False,informal,easy
123,फिर्ता गर्ने समय कति दिनको हुन्छ?,return_request,nepali_devanagari,False,formal,medium
124,kasto khattam saman ma ta rakhdina firta garxu,return_request,romanized_nepali,False,informal,medium
125,yo product pick up garera return gara na mero chahi,return_request,code_switched,True,informal,hard
126,I am completely dissatisfied and demand to hand this over.,return_request,english,False,formal,hard
127,सामान फिर्ता गर्ने नियमहरु के के छन्?,return_request,nepali_devanagari,False,formal,easy
128,firta lina kaile aauchau timiharuko manche?,return_request,romanized_nepali,False,informal,medium
129,can you process a return mero reason ma size milena lekha,return_request,code_switched,True,neutral,medium
130,Can I get my money back?,refund_request,english,False,neutral,easy
131,मेरो पैसा फिर्ता गरिदिनुस्,refund_request,nepali_devanagari,False,neutral,easy
132,mero paisa firta pauna k garnu parcha?,refund_request,romanized_nepali,False,neutral,medium
133,I want a full refund natra ma complain garchu,refund_request,code_switched,True,informal,hard
134,Please process the reimbursement for my order.,refund_request,english,False,formal,medium
135,मलाई मेरो रकम फिर्ता चाहियो,refund_request,nepali_devanagari,False,formal,easy
136,paisa diyepachi kura garchu pahila paisa firta gar,refund_request,romanized_nepali,False,informal,medium
137,refund initiate gardinus I don't want a replacement,refund_request,code_switched,True,neutral,medium
138,gimme a refund,refund_request,english,False,informal,easy
139,मैले सामान फिर्ता गरिसकें अब पैसा कहिले हाल्दिनुहुन्छ?,refund_request,nepali_devanagari,False,neutral,medium
140,refund claim garna milxa ki mildaina ahile?,refund_request,romanized_nepali,False,neutral,easy
141,refund claim reject bhayo re why so?,refund_request,code_switched,True,neutral,hard
142,I am writing to formally request my funds back.,refund_request,english,False,formal,medium
143,रकम दाबी गर्न कुन फर्म भर्नुपर्छ?,refund_request,nepali_devanagari,False,formal,medium
144,mero balance ma firta haldina ta chito,refund_request,romanized_nepali,False,informal,medium
145,refund process garna bank account details kaha dine?,refund_request,code_switched,True,neutral,medium
146,When will the refund arrive in my bank?,refund_status,english,False,neutral,easy
147,रिफन्ड कहिले सम्म आउँछ होला?,refund_status,nepali_devanagari,False,neutral,easy
148,mero paisa firta aayo ki aayena kasari herne?,refund_status,romanized_nepali,False,neutral,medium
149,refund approved vanyo tara account ma aayena k vako?,refund_status,code_switched,True,informal,medium
150,Could you please update me on the status of my reimbursement?,refund_status,english,False,formal,medium
151,पैसा फिर्ताको प्रक्रिया कहाँ पुग्यो?,refund_status,nepali_devanagari,False,formal,easy
152,refund process ma cha vanya 5 din vayo,refund_status,romanized_nepali,False,informal,medium
153,how many working days for refund processing?,refund_status,code_switched,True,formal,easy
154,refund update?,refund_status,english,False,informal,easy
155,बैंक खातामा पैसा कहिले जम्मा हुन्छ?,refund_status,nepali_devanagari,False,neutral,medium
156,paisa aaisaknu parne thiyo aayena k herna milxa?,refund_status,romanized_nepali,False,neutral,medium
157,tracking refund portal ma kei naya information chaina,refund_status,code_switched,True,neutral,hard
158,I have been waiting for the refund to reflect on my statement.,refund_status,english,False,formal,hard
159,रिफन्ड सक्सेसफुल भन्छ तर मेरो खातामा आएको छैन,refund_status,nepali_devanagari,False,neutral,medium
160,kaile aune ho paisa eta ta check garda dekhena,refund_status,romanized_nepali,False,informal,hard
161,check refund transaction chito,refund_status,code_switched,True,informal,easy
162,My credit card was declined at checkout.,payment_failed,english,False,neutral,easy
