id,text,intent,language,is_code_switched,formality,difficulty
3701,My tracking number says invalid when I enter it into the partner's site.,order_tracking,english,false,formal,medium
3702,Is there a way to trace the courier using the vehicle registration?,order_tracking,english,false,neutral,medium
3703,tracking map blank,order_tracking,english,false,informal,easy
3704,Please provide a detailed chronological manifest of my shipment's transit.,order_tracking,english,false,formal,hard
3705,डेलिभरी ट्र्याक गर्ने ठाउँमा नम्बर हाल्दा गलत भन्यो।,order_tracking,nepali_devanagari,false,neutral,medium
3706,गाडीको नम्बरबाट सामान कुन बाटो आउँदैछ हेर्न मिल्छ?,order_tracking,nepali_devanagari,false,informal,medium
3707,खै त नक्सामा केही देखाइराखेको छैन।,order_tracking,nepali_devanagari,false,informal,easy
3708,मेरो पार्सलको सम्पूर्ण यात्रा विवरण उपलब्ध गराइदिनुहोला।,order_tracking,nepali_devanagari,false,formal,hard
3709,delivery track garne thau ma number halda galat vanyo.,order_tracking,romanized_nepali,false,neutral,medium
3710,gadi ko number bata saman kun bato aaudai xa herna milxa?,order_tracking,romanized_nepali,false,informal,medium
3711,khai ta map ma kei dekhairakheko xaina.,order_tracking,romanized_nepali,false,informal,easy
3712,mero parcel ko sampurna yatra biwaran uplabdha garaidinuhola.,order_tracking,romanized_nepali,false,formal,hard
3713,tracking partner ko site ma invalid tracking ID bhancha.,order_tracking,code_switched,true,formal,hard
3714,vehicle registration use garera courier trace garna milcha?,order_tracking,code_switched,true,neutral,medium
3715,tracking map blank cha kei dekhaudaina.,order_tracking,code_switched,true,informal,easy
3716,shipment ko chronological transit manifest provide garnus na.,order_tracking,code_switched,true,formal,hard
3717,live location herna map load hudaina app ma.,order_tracking,code_switched,true,neutral,medium
3718,tracking id enter garda error falyo k vako?,order_tracking,code_switched,true,informal,medium
3719,dispatcher le wrong tracking link send garyo jasto cha.,order_tracking,code_switched,true,neutral,medium
3720,parcel ko real-time status update block vako cha.,order_tracking,code_switched,true,formal,medium
3721,Has my international order cleared the initial screening phase?,order_status,english,false,formal,hard
3722,I want to know if the items have been packed into the shipping box.,order_status,english,false,neutral,medium
3723,is order placed?,order_status,english,false,informal,easy
3724,Could you confirm if the backordered item is finally in fulfillment?,order_status,english,false,formal,medium
3725,के मेरो अन्तर्राष्ट्रिय अर्डरले प्रारम्भिक जाँच पार गर्‍यो?,order_status,nepali_devanagari,false,formal,hard
3726,सामानहरू बट्टामा प्याक गरिसकियो कि छैन भनेर जान्न चाहन्छु।,order_status,nepali_devanagari,false,neutral,medium
3727,अर्डर भयो कि नाइ?,order_status,nepali_devanagari,false,informal,easy
3728,स्टक सकिएको सामान अब प्याकिङ हुन थालेको हो?,order_status,nepali_devanagari,false,formal,medium
3729,k mero antarrastriya order le prarambhik janch paar garyo?,order_status,romanized_nepali,false,formal,hard
3730,samanharu batta ma pack garisakiyo ki xaina vanera janna chahanxu.,order_status,romanized_nepali,false,neutral,medium
3731,order vayo ki nai?,order_status,romanized_nepali,false,informal,easy
3732,stock sakieko saman aaba packing huna thaleko ho?,order_status,romanized_nepali,false,formal,medium
3733,international order ko initial screening phase clear bhayo?,order_status,code_switched,true,formal,hard
